ID,Section,Scenario,Given,When,Then,DiffPriority,Trigger,Verification,RegressionCoverage,RegressionRef,Caveat
S1,Shopify-initiated,New order placed,a customer is checking out on a connected Shopify store,the order is placed,MCSL imports it as INITIAL and derives payment type (COD vs pre-paid),-,orders/create,Verified (intake),Covered,Orders Grid intake / OPEN section,Payment-type derivation inferred
S2,Shopify-initiated,Edit open order,an existing open order,the merchant edits it,order-updates saves a new version and diffs vs last-applied,varies,orders/updated,Verified,Covered,Order_Update (general),-
S3,Shopify-initiated,Cancel order,an open order,the merchant cancels it in Shopify,internal status moves to CANCELLED,-,orders/cancelled,Verified,Covered,Order_Update 16.0 (bulk cancel across all statuses),-
S4,Shopify-initiated,Void unpaid order,an unpaid order,the merchant voids it,financial_status moves to voided and syncs at 45,45,orders/updated or orders/cancelled,Inferred,Not-covered (testable),-,Void-specific path not in regression and not line-verified
S5,Shopify-initiated,Archive order age cutoff,a fulfilled or closed order,it is archived (closed_at set),it is dropped if closed_at is older than ignoreOrdersClosedBeforeDays otherwise processed,-,orders/updated,Verified,Not-covered (testable),-,TIER-1 GAP: age-cutoff behavior untested in regression
S6,Shopify-initiated,Capture authorized payment,financial_status is authorized,the merchant captures payment,a priority-45 update reaches MCSL and the order becomes eligible for paid-gated automation,45,orders/updated,Verified (diff),Partial,Order_Update payment rows are COD-focused not auth-capture,Automation-eligibility effect inferred
S7,Shopify-initiated,Authorization expires,an authorized order,the authorization expires uncaptured,financial_status moves to expired and syncs at 45,45,orders/updated,Verified (diff),Not-covered (testable),-,TIER-1 GAP: auth-expiry untested
S8,Shopify-initiated,Deferred order paid on due date,a pay-later order with an outstanding balance,the customer pays on the due date,financial_status moves to paid (45) and total_outstanding to 0 (50); notification uses max 50,50,orders/updated,Verified (diff),Not-covered (testable),-,TIER-1 GAP: deferred/pay-later untested
S9,Shopify-initiated,Partial payment captured,an order awaiting payment,the merchant captures a partial amount,financial_status moves to partially_paid (45) and outstanding reduces (50); flagged PARTIAL_COD if COD gateway,50,orders/updated,Verified (diff),Partial,Order_Update 31 (Partial COD) covers collectible amount,PARTIAL_COD mapping inferred
S10,Shopify-initiated,Full refund issued,a paid order,the merchant issues a full refund,financial_status moves to refunded at 45 and maps to PRE_PAID,45,orders/updated,Verified (diff),Not-covered (testable),-,Refund not in Order_Update sheet
S11,Shopify-initiated,Partial refund issued,a paid order,the merchant issues a partial refund,financial_status moves to partially_refunded (45) and outstanding changes (50),50,orders/updated,Verified (diff),Not-covered (testable),-,Refund not in Order_Update sheet
S12,Shopify-initiated,Switch payment method to COD,a non-COD order,the payment method changes to Cash on Delivery (COD),payment_gateway_names diff fires at 40 and payment type maps to COD via status+outstanding (isCodCheckEnabled) or legacy gateway-name,40,orders/updated,Verified (code),Covered,Order_Update 30-32 + getPaymentGatewayViaStatus,Two derivation mechanisms confirmed in mapper
S13,Shopify-initiated,Switch payment method away from COD,a COD order,the gateway changes away from COD,payment_gateway_names diff fires at 40 and payment type maps to PRE_PAID; outstanding ignored; collectible 0,40,orders/updated,Verified (diff),Covered,Order_Update 31 (Partial COD to Prepaid),-
S14,Shopify-initiated,Order balance changes,an existing order,a tip surcharge or discount changes the balance,total_outstanding diff fires at 50,50,orders/updated,Verified (diff),Partial,Order_Update 31/32 cover collectible-amount via payment transition,-
S15,Shopify-initiated,Merchant starts fulfilment,an unfulfilled order,the merchant marks it In progress,a fulfillment_status diff fires at 45 and notifies MCSL,45,orders/updated,Inferred,Not-covered (testable),-,In-progress intermediate value untested and not line-verified
S16,Shopify-initiated,Fulfil all items externally,an order managed in MCSL,the merchant fulfils all items directly in Shopify,fulfillment_status moves to fulfilled (45) and status moves to EXTERNALLY_FULFILED,45,orders/updated,Verified,Covered,Order_Update 20.0,Gated by orderStatusUpdateEnabledFor
S17,Shopify-initiated,Fulfil some items externally,an order with multiple items,the merchant fulfils some items,fulfillment_status moves to partial (45) and status moves to PARTIALLY_EXTERNALLY_FULFILED,45,orders/updated,Verified,Covered,Order_Update 21.0,Gated by partial.fulfilment.enabled
S18,Shopify-initiated,Cancel all fulfilments,an order with created fulfilments,the merchant cancels all fulfilments,fulfillment_status becomes null and a priority-42 diff fires even with unchanged updated_at; OrderFulfillmentCancelled emitted,42,orders/updated,Verified,Covered,Order_Update epic item 13 (cancel fulfill from Shopify across all statuses),-
S19,Shopify-initiated,Fulfilment placed on hold,an order,fulfilment is placed on hold,a forced priority-1 update fires; full order re-fetched from Fulfilment API; held product removed from MCSL order,1,fulfillment_orders/placed_on_hold + fulfillment_holds/added,Verified (topics),Covered,Order_Update 17.0-19.0 (per-product hold),-
S20,Shopify-initiated,Fulfilment hold released,a held order,the hold is released,a forced priority-1 update fires and the order is released for shipping,1,fulfillment_orders/hold_released + fulfillment_holds/released,Verified (topics),Covered,Order_Update 17.0-19.0,-
S21,Shopify-initiated,Subscription reaches fulfilment date,a prepaid subscription order in Scheduled state,the fulfilment date is reached,fulfillment_status moves scheduled to unfulfilled (45) and the order becomes active,45,orders/updated,Inferred,Not-covered (testable),-,TIER-1 GAP: subscription scheduled-to-unfulfilled untested and MCSL-unverified
S22,Shopify-initiated,Edit line items,an order,the merchant changes quantity or adds/removes products,a line_items diff fires at 40 (excluding line fulfillment_status) and may re-trigger packaging/rate calc,40,orders/updated,Verified (diff),Covered,Order_Update 3.0-14.0 (add product / qty up-down across Initial+Processing),Packaging re-trigger inferred
S23,Shopify-initiated,Correct shipping address,an unshipped order,the merchant corrects the shipping address,a shipping_address diff fires at 30 and relabel may be needed if a label exists,30,orders/updated,Verified (diff),Covered,Order_Update 1.0-2.0,-
S24,Shopify-initiated,Change order tags,an order,tags are added or removed,a tags diff fires at 49 and automation rules re-evaluate,49,orders/updated,Verified (diff),Covered,Order_Update 15.0 (multi-tag across 7 statuses),Automation re-eval effect inferred
S25,Shopify-initiated,Customer return,a fulfilled order,the customer requests or progresses a return,return status syncs and the return flow may trigger,varies,orders/updated,Inferred,Partial,Order_Update references Return Created status; full return flow on Returns sheet,Return-status field handling not line-verified
S26,Shopify-initiated,Order note updated,an order imported without an order note,the merchant adds or edits the order note in Shopify,the note syncs to MCSL via the order-note listener (NOT the diff engine),-,orders/updated + order.note.updating.listener,Verified (absence),Covered,Order_Update (order.note.updating.listener row),CATALOG-MISSED: note is NOT a diff-definition field; flows through a separate listener toggle
S27,Shopify-initiated,Mark as unfulfilled in Shopify,a fulfilled order,the merchant marks it Unfulfilled in Shopify,a red alert icon appears in MCSL and on confirming the update the order returns to Processing,45,orders/updated,Inferred,Covered,Order_Update 22.0,CATALOG-MISSED: unfulfil-to-reprocess transition was absent from the catalog
P1,Post-fulfilment,Refund after shipment,a shipped order,a refund is issued,the financial status syncs with NO relabel and NO re-fulfil,45,orders/updated,Inferred,Not-covered (testable),-,No-relabel guarantee untested and not line-verified
P2,Post-fulfilment,Fulfilment cancelled after creation,an order with created fulfilments,all fulfilments are cancelled,OrderFulfillmentCancelled fires and the order may return to a shippable state,42,orders/updated,Verified (diff),Covered,Order_Update epic item 13,Return-to-shippable rule inferred
P3,Post-fulfilment,Address edited after label generated,an order with a generated label,the address is edited,the yellow update (ring) icon shows; on confirming the address updates and the label is flagged for relabel,30,orders/updated,Inferred,Covered,Order_Update 2.0/row4 (Label Created update icon + modal),Auto-void behavior not line-verified
P4,Post-fulfilment,Line items edited after partial fulfilment,a partially fulfilled order,line items are edited,only unfulfilled items are affected; line-level fulfillment_status excluded from diff,40,orders/updated,Verified (diff),Covered,Batch Flow r32 (hold items in Shopify fulfil remaining in MCSL),Only-unfulfilled-affected effect inferred
P5,Post-fulfilment,Archive after fulfilment,a fulfilled order,it is archived,processed if within the ignoreOrdersClosedBeforeDays window otherwise ignored,-,orders/updated,Verified,Not-covered (testable),-,TIER-1 GAP: same age-cutoff as S5
P6,Post-fulfilment,Write-back echo arrives,MCSL has pushed fulfilment to Shopify,Shopify echoes an orders/updated (fulfilled) with a NEWER updated_at,the echo is NOT suppressed by order-updates (newer + monitored field) so it produces a real priority-45 update; the loop is broken by MCSL-side idempotency,45,orders/updated (echo),Verified (not suppressed by order-updates) / Inferred (MCSL idempotency),N/A-infra,-,CORRECTED: updated_at gate does NOT suppress the fulfilment echo (it is newer); MCSL-side idempotency not verified
P7,Post-fulfilment,Redundant update for same state,an already-fulfilled order,a redundant orders/updated arrives,the diff finds no material change and emits OrderDiffNotDetected,-,orders/updated,Verified,N/A-infra,-,Internal no-op - not a merchant regression scenario
M1,MCSL write-back,Order imported,a connected store,an order syncs into MCSL,it is created as INITIAL and nothing is written back,-,internal sync,Inferred,Covered,Orders Grid intake,-
M2,MCSL write-back,Automation packages order,an INITIAL order matching a rule,automation packages it,status moves INITIAL to PROCESSING,-,internal,Inferred,Covered,Orders Grid Prepare Shipment 31.0/32.0 (automated) + Label Automation,-
M3,MCSL write-back,Label generated,a PROCESSING order,a label is generated,status moves PROCESSING to LABEL_CREATED,-,internal,Inferred,Covered,Orders Grid 34.0 + Batch Flow 11,-
M4,MCSL write-back,Label generation fails,a PROCESSING order,label generation fails,status moves to LABEL_FAILURE and is retryable back to PROCESSING,-,internal,Inferred,Covered,Orders Grid r23 (Label failure) + Batch Flow r30 (Retry batch),-
M5,MCSL write-back,Shipment confirmed,a LABEL_CREATED order,the shipment is confirmed,status moves to SHIPPED,-,internal,Inferred,Covered,Orders Grid LABELED section,-
M6,MCSL write-back,Fulfil success writes back,a SHIPPED order,the fulfilment request succeeds,status moves to FULFILLED manifest created AND the Shopify/Woo order is marked fulfilled with tracking,-,internal then Shopify API,Verified (code+regression),Covered,Orders Grid 17.0 + ordersSyncEngine.syncCurrentStoreOrders + fulfillmentOrderUpdatingListener,Write-back confirmed in code (syncStore per order) and regression
M7,MCSL write-back,Fulfil failure,a fulfilment request,it fails,fulfilment summary shows Status FAILURE with an error,-,internal,Verified (regression),Covered,Orders Grid r25 (Fulfilment Failure),-
M8,MCSL write-back,Partial / per-item fulfil writes back,a multi-item order,MCSL fulfils remaining items after some are held,per-item fulfilment status is set and pushed to Shopify; isPartiallyAvailable computed for multi-vendor sub-orders,-,internal then Shopify API,Verified (code+regression),Covered,Batch Flow r32-33 + ordersSyncEngine fulfillmentObject.isPartiallyAvailable,-
M9,MCSL write-back,Return label generated,a return request,a return label is generated,the return flow runs; write-back depends on store return config,-,internal,Inferred,Partial,Returns sheet / Orders Grid createReturnLabel,Not line-verified this session
M10,MCSL write-back,Order marked not-to-ship,an order,it is marked not-to-ship,status moves to NOT_TO_SHIP,-,internal,Inferred,Covered,Orders Grid 72.0 (Mark As Not to Ship),-
BF1,Bulk-fulfilment,Bulk Mark As Fulfilled from grid,multiple orders selected in the order grid,the operator clicks Mark as Fulfilled,all selected orders are fulfilled a single manifest is created and each Shopify/Woo order is marked fulfilled,-,internal then Shopify API (N orders),Verified (regression),Covered,Orders Grid 45.0 (bulk Mark As Fulfilled single manifest) + 61.0 (Actions menu single/multiple),-
BF2,Bulk-fulfilment,Echo storm from bulk fulfil,a bulk fulfil of N orders has pushed N fulfilments to Shopify,Shopify fires N orders/updated echoes,every echo is suppressed by the updated_at comparison and none re-process,45,orders/updated (N echoes),Inferred,Not-covered (testable),-,TIER-1 GAP: N-way echo suppression under bulk fulfil not explicitly tested
BF3,Bulk-fulfilment,Batch label-gen and fulfil multiple batches,multiple batches each with multiple orders,the operator generates labels and fulfils across batches,labels generate and all orders across batches are fulfilled,-,internal then Shopify API,Verified (regression),Covered,Batch Flow 11 (single batch) + 14 (multiple batches),-
BF4,Bulk-fulfilment,Parallel batch processing,multiple batches present with parallel processing enabled,the operator runs label generation across batches concurrently,batches complete in parallel without cross-contamination,-,internal (concurrent),Verified (regression),Covered,Batch Flow r27 (Parallel batch running),Concurrency outcome asserted by regression
BF5,Bulk-fulfilment,Bulk fulfil with partial failures,a batch with some orders that fail label/fulfil,the operator fulfils the batch,successful orders fulfil and failed ones are retryable without blocking the batch,-,internal,Verified (regression),Covered,Batch Flow r30 (Retry batch) + Orders Grid r25,-
BF6,Bulk-fulfilment,Merchant bulk-marks fulfilled in Shopify,multiple unfulfilled orders selected in Shopify,the merchant marks them fulfilled in bulk,each order syncs to EXTERNALLY_FULFILED in MCSL,45,orders/updated (N inbound),Verified,Covered,Order_Update 20.0 (orders plural across statuses),-
BF7,Bulk-fulfilment,Bulk update of 20+ orders right after import,20+ orders continuously imported in Initial/Processing,immediate updates are made to all of them in Shopify after import,all orders reflect the latest updates after the sync window,varies,orders/updated (burst),Inferred,Covered,Order_Update 23.0 (Initial) + 24.0 (Processing),Burst-after-import behavior asserted by regression but not line-verified
C1,Concurrency,Simultaneous updates for same order,two orders/updated for the same order arrive nearly together,both are processed,each becomes a version and diff compares latest vs last-applied so only newest is actioned,-,orders/updated x2,Inferred,Partial,Order_Update 23/24 cover volume not the same-order race,Versioning/diff behavior from exploration
C2,Concurrency,Echo during processing,an MCSL write-back is in flight,the echo webhook arrives,fulfilment echo (newer + monitored) is NOT suppressed by order-updates; tracking-URL echo (non-monitored field) IS suppressed as OrderDiffNotDetected,-,orders/updated + fulfillments/update (echo),Verified (compare + shouldApplyUpdate),N/A-infra,-,CORRECTED two-path model verified in OrderUpdateCalculatingService + OrderComparator
C3,Concurrency,Notification already in flight,a notification is already in flight for an order,another change lands,an order_lock causes the second notification to be skipped and caught up next cycle,-,internal,Inferred,N/A-infra,-,order_lock behavior from exploration
C4,Concurrency,Duplicate lock event,a lock event,the same lock is attempted twice,ON CONFLICT DO NOTHING; no error and no double-notify,-,internal,Inferred,N/A-infra,-,Idempotent-insert from exploration
C5,Concurrency,Diff requested twice,a version,its diff is requested twice,a pending-update guard prevents duplicate order_updates rows,-,internal,Inferred,N/A-infra,-,Pending-update guard from exploration
C6,Concurrency,Recalculation requested,a stale diff,a recalculation is requested,existing update rows are deleted and recomputed with no orphans,-,OrderUpdateRecalculationRequested,Inferred,N/A-infra,-,From exploration
L1,Load,Bulk import of orders,a new store onboarding,a bulk import runs,a shop_lock is acquired and per-order notifications are deferred,-,ShopLockedForImport,Inferred,Partial,Order_Update 23/24 touch import-then-update,From exploration
L2,Load,Updates during bulk import,a bulk import in progress,orders/updated webhooks arrive,versions are saved diffs held and recalculated for every version after OrderImportFinished,-,orders/updated,Inferred,Partial,Order_Update 23/24,Catch-up window from exploration
L3,Load,Oversized payload,a very large order,its webhook exceeds size limits,a Heimdal LINK payload stores body in S3 and fetches on demand with no truncation,-,heimdal,Inferred,N/A-infra,-,From exploration
L4,Load,High webhook throughput,a spike in webhook volume,many webhooks arrive at once,five SQS-polling workers with batch polling absorb the spike,-,SQS,Inferred,Partial,Batch Flow r27 (parallel) + Order_Update 23/24,Worker topology from exploration
L5,Load,MCSL API momentarily down,MCSL API is briefly unavailable,an apply or notify call fails,AxiosError caught webhook_in_progress reverted SQS redelivers after ~10s no in-process retry,-,internal,Inferred,N/A-infra,-,From exploration
L6,Load,Fulfilment API down during hold,a hold or release webhook,the Fulfilment API is unavailable,the fetch fails SQS redelivers and the hold applies on recovery,1,fulfillment_orders/*,Inferred,N/A-infra,-,From exploration
U1,Multi-user,Merchant vs operator fulfil same order,an order both a merchant and a StorePep operator can fulfil,the merchant fulfils in Shopify while the operator generates a label,ordersSyncEngine has NO pre-check against Shopify fulfilment state before syncStore; a failed sync is recorded as isStoreSyncFailed; whether real double-fulfilment occurs depends on upstream order-selection (untraced),45,orders/updated,Verified (no pre-check) / Inferred (outcome),Not-covered (testable),-,TIER-1 GAP: write-back has no guard (verified); double-ship possibility depends on untraced order-selection logic
U2,Multi-user,Two operators on same order,two operators acting on the same order in the grid,both act,internal order state arbitrates and last write wins; bulk vs single action can contend,-,internal,Inferred,Not-covered (testable),-,Contention behavior not line-verified
U3,Multi-user,Address edit vs label race,an operator generating a label,the merchant edits the address mid-label,the address diff (30) notifies and if a label is cut it is flagged for relabel not a silent ship,30,orders/updated,Inferred,Partial,Order_Update 2.0 (address while Processing),Race outcome not line-verified
U4,Multi-user,Bulk re-tag during busy period,an automation app,it re-tags many orders during a busy period,each is a priority-49 diff the queue absorbs the volume and rules re-evaluate,49,orders/updated,Inferred,Covered,Order_Update 15.0,Throughput outcome inferred
U5,Multi-user,Return coincides with fulfilment,a customer return,it coincides with operator fulfilment,return and fulfilment are independent fields both sync and the return flow proceeds,varies,orders/updated,Inferred,Partial,Order_Update Return Created status,Field-independence outcome inferred
E1,Error/Edge,Duplicate order version,a version UUID already known,it is received again,it is silently skipped (idempotent),-,internal,Inferred,N/A-infra,-,From exploration
E2,Error/Edge,Order closed before cutoff,an order closed before ignoreOrdersClosedBeforeDays,its webhook arrives,it is ignored entirely with no processing,-,orders/updated,Verified,Not-covered (testable),-,TIER-1 GAP: same age-cutoff as S5/P5
E3,Error/Edge,Missing applied version,a missing last-applied version,a diff is attempted,AppliedVersionNotFound is logged and swallowed the diff aborts and no rows written,-,internal,Inferred,N/A-infra,-,From exploration
E4,Error/Edge,MCSL call fails,an apply or notify call,it fails,webhook_in_progress reverted SQS redelivers and there is no in-process retry,-,internal,Inferred,N/A-infra,-,From exploration
E5,Error/Edge,Order-lock conflict,an order_lock conflict,a notification is attempted,it is skipped and caught up by the next diff cycle,-,internal,Inferred,N/A-infra,-,From exploration
E6,Error/Edge,No material change,a noisy webhook with no monitored-field change,it is diffed,OrderDiffNotDetected is emitted as an explicit no-op for observability,-,orders/updated,Verified,N/A-infra,-,Internal no-op
S28,Shopify-initiated,COD ambiguity reconfirm,an order whose gateway name matches COD but status is not pending,the order is synced,the mapper returns success=false gateway=COD with message Order Marked as COD Please Reconfirm,40,orders/updated,Verified (code),Not-covered (testable),-,Reconfirm-required state from getPaymentGatewayLegacy line 72
T1,Tracking,Fulfilment created with tracking number,a fulfilment is created in Shopify with a tracking number,the tracking app receives fulfillments/create,tracking number and carrier are extracted and the order is registered for tracking if the carrier is supported and status is success,-,fulfillments/create,Inferred,N/A-other-app,shopify-tracking-app,Handled by separate tracking app not order-updates; subagent read
T2,Tracking,Fulfilment updated,a fulfilment changes in Shopify,the tracking app receives fulfillments/update,tracking info is re-read and synced to the tracking service,-,fulfillments/update,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
T3,Tracking,Carrier reports In Transit,a tracked shipment,the carrier poll returns In Transit,status moves to IN_TRANSIT and a fulfillmentEventCreate IN_TRANSIT is pushed to Shopify,-,carrier poll then Shopify GraphQL,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
T4,Tracking,Carrier reports Out For Delivery,a tracked shipment,the carrier poll returns Out For Delivery,status moves to OUT_FOR_DELIVERY and a fulfillmentEventCreate is pushed,-,carrier poll then Shopify GraphQL,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
T5,Tracking,Carrier reports Delivered,a tracked shipment,the carrier poll returns Delivered,status moves to DELIVERED a fulfillmentEventCreate DELIVERED is pushed and a customer email is sent,-,carrier poll then Shopify GraphQL,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
T6,Tracking,Delivery exception,a tracked shipment,the carrier reports a failed attempt damaged or return exception,status moves to an Exception and ATTEMPTED_DELIVERY or FAILURE is pushed plus an email,-,carrier poll then Shopify GraphQL,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
T7,Tracking,Custom tracking URL rewrite,enableCustomTrackingUrl is on,a fulfilment is created or updated,the fulfilment tracking_info url is rewritten to a custom app URL,-,fulfillments/* then Shopify REST,Inferred,N/A-other-app,shopify-tracking-app,This is the tracking-app echo source; lands as OrderDiffNotDetected in order-updates (verified field-filter)
T8,Tracking,Customer delivery email,a tracked shipment,any tracking status change occurs,a Handlebars email is sent to the customer shipping address,-,internal,Inferred,N/A-other-app,shopify-tracking-app,Separate app; subagent read
S29,Shopify-initiated,Refund reduces shippable line items (legacy),an order with refunded line items and both partial.fulfilment.enabled and orderStatusUpdateEnabled OFF,the order is synced,refunded quantities are summed per variant and subtracted from shippable line items (items with qty 0 are dropped),45,orders/updated,Verified (code),Not-covered (testable),-,Legacy flag-gated path shopifyToStorepepOrderMapper:285-300; NOT Shopify Return Management
S30,Returns gap,Shopify Return Management flow,a customer requests/approves a return in Shopify (returns/request approve reverse_deliveries),the return progresses in Shopify,NOTHING reaches StorePep — no returns/* or reverse_* webhook is subscribed and order.returns is never parsed,-,returns/* reverse_* (NOT subscribed),Verified (absence),Not-covered (gap),-,Shopify Return Management entirely unintegrated; StorePep returns are operator-initiated carrier RMA labels only
PF1,Partial-fulfilment,Merchant partial fulfil flag ON,partial.fulfilment.enabled is ON and an order is partially fulfilled in Shopify,the partial event is processed,already-fulfilled items are stripped totals/tax/money recomputed for remaining items and the order is re-imported as PARTIALLY_EXTERNALLY_FULFILED,45,orders/updated,Verified (code),Covered,Order_Update 21.0 + externalFulfilmentEventProcessingListener.handlePartialFulfilment,-
PF2,Partial-fulfilment,Merchant partial fulfil flag OFF,partial.fulfilment.enabled is OFF and an order is partially fulfilled in Shopify,deriveStorePepStatus runs,status is forced to INITIAL so MCSL treats the order as fully unfulfilled and may ship already-fulfilled items,-,orders/updated,Verified (code),Not-covered (testable),-,RISK: forced-INITIAL; confirm downstream guard prevents re-shipping fulfilled items
PF3,Partial-fulfilment,Operator partial fulfil from MCSL,an order with multiple items in MCSL,the operator fulfils a subset via edit packages,per-item fulfilment is written back to Shopify and isPartiallyAvailable is set,-,internal then Shopify API,Verified (code),Covered,Order_Update epic item 12 (use edit package) + ordersSyncEngine,-
PF4,Partial-fulfilment,Hold some items in Shopify fulfil rest in MCSL,an order with items held in Shopify,the operator fulfils the remaining items in MCSL,remaining items are fulfilled and batch creation handles the held items,-,fulfillment_holds + internal,Verified (regression),Covered,Batch Flow r32-33,-
PF5,Partial-fulfilment,Multi-vendor sub-order partial availability,a WCFM multi-vendor order with multiple sub-orders,some sub-orders are shipped and others not,isPartiallyAvailable is true until all sub-orders reach SHIPPED,-,internal,Verified (code),Not-covered (testable),-,ordersSyncEngine isPartiallyAvailable completedSubOrders vs totalSubOrders
PF6,Partial-fulfilment,Partial then fulfil remaining,a PARTIALLY_EXTERNALLY_FULFILED order,the remaining items are fulfilled,the order transitions toward FULFILLED or EXTERNALLY_FULFILED,45,orders/updated,Inferred,Covered,Order_Update end-to-end row28,Sequencing asserted by regression not line-verified
PF7,Partial-fulfilment,Partial then remaining cancelled,a partially fulfilled order,the remaining items are cancelled in Shopify,the remaining quantity is cancelled and the order resolves,42,orders/updated,Inferred,Not-covered (testable),-,Not traced
PF8,Partial-fulfilment,Partial externally then line items edited,a partially fulfilled order,line items are added or removed,recalculation re-runs on the next event for the remaining items,40,orders/updated,Verified (code),Covered,P4 + OrderProcessingService,-
PF9,Partial-fulfilment,Repeated partial webhooks idempotency,a partially fulfilled order,multiple partial webhooks arrive,each re-runs process() recomputing remaining items and should converge without double-stripping,-,orders/updated,Inferred,N/A-infra,-,Idempotency not traced
PF10,Partial-fulfilment,Totals and tax correctness after partial,a partially fulfilled order,the partial event is processed,calculateTotals and updateMoneySet recompute price discount tax and money_set for remaining items only,-,internal,Verified (code),Not-covered (testable),-,OrderProcessingService recompute confirmed; assert correctness in QA
PF11,Partial-fulfilment,Partial fulfil plus COD outstanding,a COD or Partial-COD order partially fulfilled,the partial event is processed,collectible/outstanding should reflect the remaining value,40,orders/updated,Inferred,Partial,Order_Update 31/32 (Partial COD),Intersection with COD not traced
PF12,Partial-fulfilment,Cancelled precedence over partial,an order with fulfillment_status partial AND cancelled_at set,deriveStorePepStatus runs,status resolves to CANCELLED (cancel wins over partial),-,orders/updated or orders/cancelled,Verified (code),Covered,deriveStorePepStatus + Order_Update 16.0,-
